review_id,user_name,rating,review_title,review_text,review_date,app_version,platform,country,app_id,brand,userImage,helpful,reviewCreatedVersion,dev_reply,repliedAt,appVersion,lang,package
13250863763,Feburary19th,5,식단관리 앱 중 단연 최고,"광고도 없고 식단 기록등을 너무 편하게 할 수 있어서 좋은 것 같아요, 다이어트 하면 늘 골칫거리가 식단 인데 매주 새로운 식단을 추천해주니까 진짜 편합니다 UI 도 깔끔하고 직관적인게 장점 그리고 가능하면 식단을 공유할 수 있는 기능도 있으면 좋을 것 같습니다",2025-10-10 20:14:12,1.2.0,ios,kr,6741460190,루션,,,,,,,,nan
13248995270,봄봄amy,5,귀차니즘 다이어터 최적🥳,"제가 원했던 어플이 바로 이런거였는데!!! 식단 기록에다가 맞춤 추천 식단까지,,, 귀차니즘 미쳐버리 저같은 다이어터에게 너무나 편한 앱 인것 같아요🥹앞으로도 잘 쓰겠습니다!!",2025-10-10 09:22:41,1.2.0,ios,kr,6741460190,루션,,,,,,,,nan
13248613778,블루베리0726,5,다이어트를 위한 최고의 앱,"리뷰 잘 안쓰는데 이 어플은 진짜 좋아서 씁니다.  식단을 편하게 작성할 수 있어서 꾸준히 작성할 수 있는 게 정말 큰 장점인 것 같아요 예전엔 작심삼일이었는데 루션 쓰고 한달만에 3kg 빠졌어요ㅎㅎ 걸음 포인트도 쌓이고, 내가 뭘 자주 먹는지 돌아보게 돼요. 단순히 다이어트 앱이 아니라, 습관을 만들어주는 앱 같아요. 매일 기록하고 걷는 게 즐거워졌어요!!",2025-10-10 07:42:04,1.2.0,ios,kr,6741460190,루션,,,,,,,,nan
13218915750,짱아 랑께유,5,덕분에 5키로감량,"회사 동료가 다이어트 앱 소개해줬는데 속는셈 치고 깔아서 꾸준히 썼더니 5키로 감량했요!(우리끼리만 알고싶은 앱)  매일매일 기록하는 재미도 있고, 이 은근 정확해서 칼로리 계산도 쉽게 할수있어요~ 기존에 있던 다이어트 앱에서 +더 간편+ 쉬운 메뉴얼? 여튼 좋아요! 개발자가 누군진 몰라도 참 야무지네요ㅋㅋ",2025-10-03 09:49:20,1.2.0,ios,kr,6741460190,루션,,,,,,,,nan
13212918461,도래울,5,다이어트 성공!!,루션 덕분에 다이어트를 성공하였습니자,2025-10-02 02:41:52,1.2.0,ios,kr,6741460190,루션,,,,,,,,nan
13163475853,야호1011,1,개인정보를 과도하게 요구하는 느낌,시작하자마자 대뜸 개인정보를 과도하게 요구하는 느낌이라 가입 포기합니다,2025-09-20 16:50:31,1.0.2,ios,kr,6741460190,루션,,,,,,,,nan
13127655306,Itability,5,다이어트 1일차…,뭐 먹을지 고민 안해도 돼서 좋아요,2025-09-12 01:48:03,1.0.0,ios,kr,6741460190,루션,,,,,,,,nan
13122671121,SiikSiik,5,식단관리하고 싶어서 찾아본 앱,다른 앱들보다 깔끔하고 뭘 눌러야 하나 명확해서 좋아요,2025-09-10 16:16:26,1.0.0,ios,kr,6741460190,루션,,,,,,,,nan
13120361830,masuuuuuuuuuuu,5,좋아요,깔끔하고 직관적이여서 좋아요~~,2025-09-10 03:09:03,1.0.0,ios,kr,6741460190,루션,,,,,,,,nan
13120027781,툐랴,1,성별선택,부터 안되는데 …뭐 어찌 가입하라는거임,2025-09-10 00:43:53,1.0.0,ios,kr,6741460190,루션,,,,,,,,nan
